domain,cse_target,true_label,predicted_label,ensemble_score,individual_scores
sbicmsbanglore.in,sbi.co.in,0,1,0.6692955084187644,"{'random_forest': np.float64(0.6384107142857144), 'xgboost': np.float32(0.58673745), 'neural_network': np.float32(0.9999892), 'rule_engine': 0.5}"
zonalsbi.co.in,sbi.co.in,0,1,0.6762928684098379,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60891855), 'neural_network': np.float32(0.99998885), 'rule_engine': 0.5}"
sbico.net,sbi.co.in,0,1,0.6807467486574537,"{'random_forest': np.float64(0.6434702380952382), 'xgboost': np.float32(0.6122089), 'neural_network': np.float32(0.99997807), 'rule_engine': 0.5}"
noreplysbi.in,sbi.co.in,0,1,0.678545932326998,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.6122089), 'neural_network': np.float32(0.99998593), 'rule_engine': 0.5}"
mysbi-co.net,sbi.co.in,0,1,0.6797958727223532,"{'random_forest': np.float64(0.6396607142857144), 'xgboost': np.float32(0.6122089), 'neural_network': np.float32(0.99998564), 'rule_engine': 0.5}"
sbi-updatb.xyz,sbi.co.in,0,1,0.6741963429791586,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.6013337), 'neural_network': np.float32(0.99998844), 'rule_engine': 0.5}"
sbi-update.cfd,sbi.co.in,0,1,0.6741963280779975,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.6013337), 'neural_network': np.float32(0.9999884), 'rule_engine': 0.5}"
sbi-update.top,sbi.co.in,0,1,0.6741963280779975,"{'random_forest': np.float64(0.6346607142857145), 'xgboost': np.float32(0.6013337), 'neural_network': np.float32(0.9999884), 'rule_engine': 0.5}"
sbi-update.xyz,sbi.co.in,0,1,0.6741963429791586,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.6013337), 'neural_network': np.float32(0.99998844), 'rule_engine': 0.5}"
sbi-updats.top,sbi.co.in,0,1,0.6741963280779975,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.6013337), 'neural_network': np.float32(0.9999884), 'rule_engine': 0.5}"
sbi-updats.xyz,sbi.co.in,0,1,0.6741963429791586,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.6013337), 'neural_network': np.float32(0.99998844), 'rule_engine': 0.5}"
sbi-updaty.top,sbi.co.in,0,1,0.6741963280779975,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.6013337), 'neural_network': np.float32(0.9999884), 'rule_engine': 0.5}"
sbi-updaty.xyz,sbi.co.in,0,1,0.6741963429791586,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.6013337), 'neural_network': np.float32(0.99998844), 'rule_engine': 0.5}"
sbiverify-jp.cfd,sbi.co.in,0,1,0.669295627628054,"{'random_forest': np.float64(0.6384107142857144), 'xgboost': np.float32(0.58673745), 'neural_network': np.float32(0.9999898), 'rule_engine': 0.5}"
